segment,description,customers,repeat_customer_pct,multiple_products_pct,recent_customer_pct,median_days_since_order,median_recorded_spend_brl,incomplete_spend_customers,customer_share_pct,recorded_spend_share_pct
0,Single-order customers,5800,0.0,2.5,32.741379310344826,142.0,84.99,41,96.66666666666667,93.84012840952444
1,Repeat or broader-basket customers,200,89.0,90.0,38.5,127.0,176.95,4,3.3333333333333335,6.159871590475565
