candidate,max_depth,min_samples_leaf,product_id,validation_mae
0,3,7,99a4788cb24856965c36a24e339b6058,0.6223602233496589
0,3,7,422879e10f46682990de24d770e7f83d,1.3758365833200397
0,3,7,154e7e31ebfa092203795c972e5804a6,0.6459625085481869
0,3,7,389d119b48cf3043d311335e499d9c6b,1.1498476849033783
0,3,7,53759a2ecddad2bb87a079a1f1519f73,1.5707592153862309
1,3,14,99a4788cb24856965c36a24e339b6058,0.6225092422590506
1,3,14,422879e10f46682990de24d770e7f83d,2.0052963045284162
1,3,14,154e7e31ebfa092203795c972e5804a6,0.6632974344720473
1,3,14,389d119b48cf3043d311335e499d9c6b,1.106180620177527
1,3,14,53759a2ecddad2bb87a079a1f1519f73,1.4725239494667228
2,6,7,99a4788cb24856965c36a24e339b6058,0.6323206582594311
2,6,7,422879e10f46682990de24d770e7f83d,1.3352472686719155
2,6,7,154e7e31ebfa092203795c972e5804a6,0.6157523393368319
2,6,7,389d119b48cf3043d311335e499d9c6b,1.0937434791658214
2,6,7,53759a2ecddad2bb87a079a1f1519f73,1.4059809540852064
3,6,14,99a4788cb24856965c36a24e339b6058,0.6339525454319012
3,6,14,422879e10f46682990de24d770e7f83d,1.98932922965206
3,6,14,154e7e31ebfa092203795c972e5804a6,0.6618481903085289
3,6,14,389d119b48cf3043d311335e499d9c6b,1.1233548234765018
3,6,14,53759a2ecddad2bb87a079a1f1519f73,1.4583022684502536
