feature,input_value,week_1_prediction
lag_1,0.0,2.550206827014546
lag_1,0.7857142857142857,2.650012083954626
lag_1,1.5714285714285714,3.3630491079378606
lag_1,2.357142857142857,3.36304910793786
lag_1,3.142857142857143,3.381495782167801
lag_1,3.9285714285714284,3.5809826754988183
lag_1,4.714285714285714,3.712777370053941
lag_1,5.5,3.712777370053941
lag_1,6.285714285714286,3.746377064374648
lag_1,7.071428571428571,3.8349352212907277
lag_1,7.857142857142857,3.86631411438837
lag_1,8.642857142857142,3.8798926342811733
lag_1,9.428571428571429,3.8798926342811733
lag_1,10.214285714285714,3.9069023959716795
lag_1,11.0,3.915608778950403
mean_last_4,0.0,1.162039576282527
mean_last_4,0.798571428571429,1.2265324802784354
mean_last_4,1.597142857142858,1.997644136267879
mean_last_4,2.3957142857142872,2.3603282046981353
mean_last_4,3.194285714285716,4.113165292083665
mean_last_4,3.992857142857145,4.275653242282875
mean_last_4,4.7914285714285745,4.660522801127927
mean_last_4,5.590000000000003,4.677534397562446
mean_last_4,6.388571428571432,4.676254635657685
mean_last_4,7.187142857142861,4.61343921460655
mean_last_4,7.98571428571429,4.507945568038868
mean_last_4,8.78428571428572,4.507945568038868
mean_last_4,9.582857142857149,4.495491599784899
mean_last_4,10.381428571428577,4.559309270467634
mean_last_4,11.180000000000007,5.420645118514367
