Model,Sales period,Forecasts,Share (%),MAE,Bias
Weekly RF,Positive sales,77,29.615384615384617,2.020383449988315,-1.18217809719351
Weekly RF,Zero sales,183,70.38461538461539,0.6009068387678909,0.6009068387678909
Daily RF,Positive sales,155,27.678571428571427,1.1386488736930882,-1.0744587377222856
Daily RF,Zero sales,405,72.32142857142857,0.7396747288224138,0.7396747288224138
