feature,mean_mae_increase,min_fold_effect,max_fold_effect
lag_4,0.02612514616660061,0.007629124286846256,0.0515619018669989
lag_3,0.03217837094325536,0.021765137828932236,0.04084605923470837
lag_2,0.059886105464133886,0.02966540679876526,0.07950701610803712
lag_1,0.34242719558623186,0.24749980473478056,0.4597314830858961
mean_last_4,0.45788989681499515,0.2926306027891634,0.5549085454242533
