Model,Unit,Training MAE,Validation MAE,Test MAE
Random forest 2,items / product-week,1.7199767809888227,1.996231275883907,1.0212902967062474
Decision tree 2,items / product-week,1.8859681556556553,2.109801332601045,1.0967851264726265
Daily Random Forest,items / product-day,0.6149739460658527,1.0166089399038412,0.8501050724919755
